Order ID,Order Date,Product,Category,Quantity,Price,Discount,Region
1001,2026-01-03,Wireless Mouse,Electronics,2,799,5,East
1002,2026-01-05,Notebook,Stationery,5,120,0,North
1003,2026-01-08,USB-C Hub,Electronics,1,1499,10,West
1004,2026-01-12,Office Chair,Furniture,1,6499,8,South
1005,2026-01-18,Keyboard,Electronics,2,1299,5,East
1006,2026-01-22,Pen Set,Stationery,10,80,0,North
1007,2026-02-02,Desk Lamp,Furniture,2,999,5,West
1008,2026-02-06,Wireless Mouse,Electronics,3,799,10,South
1009,2026-02-11,Notebook,Stationery,8,120,5,East
1010,2026-02-17,Monitor Stand,Furniture,1,2499,0,North
1011,2026-02-23,Keyboard,Electronics,1,1299,0,West
1012,2026-03-01,USB-C Hub,Electronics,2,1499,5,South
1013,2026-03-07,Office Chair,Furniture,1,6499,10,East
1014,2026-03-12,Pen Set,Stationery,12,80,0,North
1015,2026-03-19,Desk Lamp,Furniture,3,999,8,West
1016,2026-03-25,Wireless Mouse,Electronics,4,799,5,South
1017,2026-04-03,Notebook,Stationery,15,120,0,East
1018,2026-04-09,Keyboard,Electronics,2,1299,10,North
1019,2026-04-14,Monitor Stand,Furniture,2,2499,5,West
1020,2026-04-21,USB-C Hub,Electronics,3,1499,8,South
1021,2026-05-02,Office Chair,Furniture,2,6499,5,East
1022,2026-05-08,Pen Set,Stationery,20,80,0,North
1023,2026-05-15,Wireless Mouse,Electronics,5,799,10,West
1024,2026-05-23,Desk Lamp,Furniture,4,999,5,South
1025,2026-05-28,Keyboard,Electronics,3,1299,0,East
